Place ID,Tên quán,Vĩ độ,Kinh độ,Điểm đánh giá,Số lượng đánh giá,Đường/Thôn,Thành phố,Tỉnh/Trạng thái,Mã quốc gia,Website,Số điện thoại,Danh mục chính,Google Maps URL,Là quán ăn/uống
ChIJvTreDApbNDERWhP4eze4qLk,Phở Thúy Mùi 351,21.01732,105.552532,4.6,16,2H82+VWG,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 388 800 400,Nhà hàng phở,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Th%C3%BAy%20M%C3%B9i%20351&query_place_id=ChIJvTreDApbNDERWhP4eze4qLk,1
ChIJKUzecgBbNDERvysep4ntmio,Phê đây,21.017789,105.551985,4.9,16,"2H82+XQC, 108 Tân Xã",Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 983 021 001,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Ph%C3%AA%20%C4%91%C3%A2y&query_place_id=ChIJKUzecgBbNDERvysep4ntmio,1
ChIJzfwgKmhbNDERuYVQzpwYUC8,Phở Bò Phan Thị,20.9835836,105.5267933,2.8,16,XGMG+CCM,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 925 288 288,Nhà hàng phở,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20B%C3%B2%20Phan%20Th%E1%BB%8B&query_place_id=ChIJzfwgKmhbNDERuYVQzpwYUC8,1
ChIJ9T3_ZN6tNTER4tFvkFcq2LA,Lẩu Bò Đức Béo,20.9960629,105.5231039,5.0,16,"Ngã tư, Khu Công Nghệ Cao Hòa Lạc, 21 ĐL Thăng Long",Hà Nội,"Hòa Lạc, Hà Nội",VN,https://www.facebook.com/lauboducbeo,+84 962 413 658,Nhà hàng món lẩu,https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20B%C3%B2%20%C4%90%E1%BB%A9c%20B%C3%A9o&query_place_id=ChIJ9T3_ZN6tNTER4tFvkFcq2LA,1
ChIJaU5Mr2tZNDEROzOQJlTebQM,Nhà Hàng Thập Phương,21.0406606,105.516432,4.5,15,Số 150 Đồng Trạng,Hà Nội,"Đoài Phương, Hà Nội",VN,,+84 984 945 519,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nha%CC%80%20Ha%CC%80ng%20Th%C3%A2%CC%A3p%20Ph%C6%B0%C6%A1ng&query_place_id=ChIJaU5Mr2tZNDEROzOQJlTebQM,1
ChIJ2Y20cPJbNDERtVlRmRWsfOE,Canteen HOLA,21.0009689,105.5194904,3.4,15,,Hà Nội,"Hòa Lạc, Hà Nội",VN,,,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Canteen%20HOLA&query_place_id=ChIJ2Y20cPJbNDERtVlRmRWsfOE,1
ChIJFwmFHgBbNDERDN0v2ofB0zI,Heemang Chicken Tân Xã,21.0192063,105.551729,4.4,15,Ngã Tư Mục Uyên,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 858 211 368,Nhà hàng Hàn Quốc,https://www.google.com/maps/search/?api=1&query=Heemang%20Chicken%20T%C3%A2n%20X%C3%A3&query_place_id=ChIJFwmFHgBbNDERDN0v2ofB0zI,1
ChIJA9QdMxpbNDER7gpk1pra184,Bún Đậu Đồng Mô 3,21.0185815,105.5506415,4.1,15,Cơ Sở 3,Hà Nội,"Hạ Bằng, Hà Nội",VN,http://bundaudongmo.com/,+84 969 186 155,Nhà hàng Việt Nam,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20%C4%90%E1%BA%ADu%20%C4%90%E1%BB%93ng%20M%C3%B4%203&query_place_id=ChIJA9QdMxpbNDER7gpk1pra184,1
ChIJze8rZgBbNDER5vq3PlbfUOU,House Of Fuca Cafe,21.0013014,105.5200747,4.9,15,2G29+HX7,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 886 363 737,Quán cà phê,https://www.google.com/maps/search/?api=1&query=House%20Of%20Fuca%20Cafe&query_place_id=ChIJze8rZgBbNDER5vq3PlbfUOU,1
ChIJIWYAmbtZNDERSXzLy27mO64,Gà Rán Five Star,21.0558868,105.5730674,4.2,15,6 ĐT80,Hà Nội,"Thạch Thất, Hà Nội",VN,https://www.facebook.com/gabaytt/,+84 373 119 462,Quán gà rán mang đi,https://www.google.com/maps/search/?api=1&query=G%C3%A0%20R%C3%A1n%20Five%20Star&query_place_id=ChIJIWYAmbtZNDERSXzLy27mO64,1
ChIJuZcicn5bNDERLuMXKjKBaRQ,Miền Trung Quán,21.0325642,105.515945,4.2,14,,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 989 496 007,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Mi%E1%BB%81n%20Trung%20Qu%C3%A1n&query_place_id=ChIJuZcicn5bNDERLuMXKjKBaRQ,1
ChIJWfrbxTBbNDER4Eh2ryso44M,Legacy Phu Cat,20.9810867,105.5321632,3.1,14,"Nhà hàng CX1, Khu đô thị Phú Cát, Xã",Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 934 433 688,Trung tâm cộng đồng,https://www.google.com/maps/search/?api=1&query=Legacy%20Phu%20Cat&query_place_id=ChIJWfrbxTBbNDER4Eh2ryso44M,0
ChIJ_Rg9uHdbNDERKPqMMYK01UE,Phở Ngân Ninh,20.9835057,105.5263337,4.7,14,XGMG+CG4,Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 962 365 366,Nhà hàng phở,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Ng%C3%A2n%20Ninh&query_place_id=ChIJ_Rg9uHdbNDERKPqMMYK01UE,1
ChIJn_mnEtBZNDER5lQc7xFVbu4,Morri Coffee,21.0501868,105.5637783,4.4,14,291 Đường 84,Hà Nội,"Thạch Thất, Hà Nội",VN,,+84 965 748 671,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Morri%20Coffee&query_place_id=ChIJn_mnEtBZNDER5lQc7xFVbu4,1
ChIJ28IdPABbNDER4MuWJmGPQGo,HL Garden Coffee n' Chill,20.9855625,105.5309844,3.6,14,XGPJ+69H,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 859 999 918,Quán cà phê,https://www.google.com/maps/search/?api=1&query=HL%20Garden%20Coffee%20n'%20Chill&query_place_id=ChIJ28IdPABbNDER4MuWJmGPQGo,1
ChIJMbTuErpUNDERn_YpZunfXeQ,Nguyên Đăng Quán,20.987434,105.5364803,4.2,13,XGPP+XHH,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 973 476 322,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nguy%C3%AAn%20%C4%90%C4%83ng%20Qu%C3%A1n&query_place_id=ChIJMbTuErpUNDERn_YpZunfXeQ,1
ChIJhZVOZT5bNDERjdqhNWPYdSQ,Nhà Hàng Vua Cá,21.0174814,105.5196824,4.0,13,"2G89+XVW, QL21A",Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 964 135 555,Nhà hàng món cá,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Vua%20C%C3%A1&query_place_id=ChIJhZVOZT5bNDERjdqhNWPYdSQ,1
ChIJSxK7JohbNDERx_tngzMUnBY,Quán lòng Hạ Bằng,21.0108834,105.5563221,4.5,13,"2H64+9G4, Thôn 7",Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 342 640 082,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20l%C3%B2ng%20H%E1%BA%A1%20B%E1%BA%B1ng&query_place_id=ChIJSxK7JohbNDERx_tngzMUnBY,1
ChIJL65-BQVbNDERP27tefgocNI,Nhà Hàng Hương Thịnh,21.006938,105.5650117,4.3,13,2H48+Q2C,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 928 681 992,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20H%C6%B0%C6%A1ng%20Th%E1%BB%8Bnh&query_place_id=ChIJL65-BQVbNDERP27tefgocNI,1
ChIJKbXhxpZbNDERah6WMjXNsGc,Quán Chú Béo,21.0195143,105.5514858,3.8,13,2H92+RH5,Hà Nội,"Hạ Bằng, Hà Nội",VN,,,Quán ăn nhỏ,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Ch%C3%BA%20B%C3%A9o&query_place_id=ChIJKbXhxpZbNDERah6WMjXNsGc,1
ChIJSQdIFmFbNDERX-DkSRV7Xow,Sài Gòn Cafe Trà Chanh,20.9892092,105.5311043,4.4,13,XGQJ+MCQ,Hà Nội,"Hòa Lạc, Hà Nội",VN,,,Quán cà phê,https://www.google.com/maps/search/?api=1&query=S%C3%A0i%20G%C3%B2n%20Cafe%20Tr%C3%A0%20Chanh&query_place_id=ChIJSQdIFmFbNDERX-DkSRV7Xow,1
ChIJVwlbafJbNDERvU3tregNaFg,Osaka Coffee hoà lạc,21.0047021,105.5341305,4.6,13,Khu Công Nghệ Cao Hòa Lạc,Hà Nội,"Hòa Lạc, Hà Nội",VN,,,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Osaka%20Coffee%20ho%C3%A0%20l%E1%BA%A1c&query_place_id=ChIJVwlbafJbNDERvU3tregNaFg,1
ChIJTy2d5CpZNDERZFPGKVADs0I,Nhà Hàng Hải Sản Hải Phương,21.0486875,105.5048281,3.4,12,2GX3+FWG,Hà Nội,"Đoài Phương, Hà Nội",VN,,+84 989 148 686,Nhà hàng hải sản,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20H%E1%BA%A3i%20S%E1%BA%A3n%20H%E1%BA%A3i%20Ph%C6%B0%C6%A1ng&query_place_id=ChIJTy2d5CpZNDERZFPGKVADs0I,1
ChIJL4rgDqxbNDERN82akdq4EnA,Ghiền BBQ,21.0121863,105.5186341,4.7,12,2G69+VCF,Hà Nội,"Hòa Lạc, Hà Nội",VN,https://www.facebook.com/Ghi%E1%BB%81n-BBQ-104740305680710/,+84 372 311 859,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Ghi%E1%BB%81n%20BBQ&query_place_id=ChIJL4rgDqxbNDERN82akdq4EnA,1
ChIJQcqgwpZbNDERqdDkIT5HefE,Cơm Nguyễn Tuấn,21.0094139,105.5180446,3.3,12,214 thôn 3,Hà Nội,"Hòa Lạc, Hà Nội",VN,https://www.facebook.com/canhdung.nguyen.927?mibextid=ZbWKwL,+84 983 556 183,Nhà hàng cơm,https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Nguy%E1%BB%85n%20Tu%E1%BA%A5n&query_place_id=ChIJQcqgwpZbNDERqdDkIT5HefE,1
ChIJd3uUfXZbNDERStRucLjwWi0,Gangsta Nướng Chảo Gang,21.0054091,105.5185575,4.0,12,"Số nhà 334, Thôn 3, Thạch Hoà, Thạch Thất",Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 922 810 810,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Gangsta%20N%C6%B0%E1%BB%9Bng%20Ch%E1%BA%A3o%20Gang&query_place_id=ChIJd3uUfXZbNDERStRucLjwWi0,1
ChIJF6qydgBdNDERCvLMWgCZoPQ,Nhà Hàng Phú Cường,20.9912946,105.4953499,4.0,12,XFRW+G49,Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 866 946 335,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Ph%C3%BA%20C%C6%B0%E1%BB%9Dng&query_place_id=ChIJF6qydgBdNDERCvLMWgCZoPQ,1
ChIJtz0AOxdbNDERtL9zzfMEF28,Nhà Hàng Lẩu Trâu Sơn Hải,21.0170233,105.5196114,3.9,12,"360, Thôn 4",Hà Nội,"Hòa Lạc, Hà Nội",VN,https://www.facebook.com/thittrauSonHai,+84 948 344 388,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20L%E1%BA%A9u%20Tr%C3%A2u%20S%C6%A1n%20H%E1%BA%A3i&query_place_id=ChIJtz0AOxdbNDERtL9zzfMEF28,1
ChIJ7xBwXXBbNDERceXz7JzEn-c,Ẩm Thực Đồng Quê,21.0086094,105.5587199,5.0,12,2H55+CFX,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 383 418 699,Nhà hàng gia đình,https://www.google.com/maps/search/?api=1&query=%E1%BA%A8m%20Th%E1%BB%B1c%20%C4%90%E1%BB%93ng%20Qu%C3%AA&query_place_id=ChIJ7xBwXXBbNDERceXz7JzEn-c,1
ChIJozWt2klaNDER-irKieKTcKo,Lẩu chó Vinh Bính,21.0130965,105.5567818,4.4,12,,Hà Nội,"Thạch Thất, Hà Nội",VN,,+84 363 769 711,Nhà hàng gia đình,https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20ch%C3%B3%20Vinh%20B%C3%ADnh&query_place_id=ChIJozWt2klaNDER-irKieKTcKo,1
ChIJ7fOQNvZbNDERXBREa5JXDbo,Tiệm Nhà Thương,21.0114292,105.5556589,4.8,12,2H64+7FH,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 369 796 637,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20Nh%C3%A0%20Th%C6%B0%C6%A1ng&query_place_id=ChIJ7fOQNvZbNDERXBREa5JXDbo,1
ChIJxaIua8dbNDERMDnc0aXEcg8,Quán Vịt Vân Hiền,21.019883,105.5513258,4.4,12,2H92+XG4,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 374 304 531,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20V%E1%BB%8Bt%20V%C3%A2n%20Hi%E1%BB%81n&query_place_id=ChIJxaIua8dbNDERMDnc0aXEcg8,1
ChIJsSHzQDpbNDER3QqvgnlSwYE,Nhà Sàn Cá Lăng Anh Dũng,21.0169692,105.5745447,4.8,12,2H8F+QQ7,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 938 581 988,Nhà hàng món cá,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20S%C3%A0n%20C%C3%A1%20L%C4%83ng%20Anh%20D%C5%A9ng&query_place_id=ChIJsSHzQDpbNDER3QqvgnlSwYE,1
ChIJex6l_P5bNDERrKgu36UvtRU,Vườn Ẩm Thực Tuấn Thoan,21.0043791,105.5634106,4.6,12,2H37+Q9J,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 987 672 737,Nhà hàng,https://www.google.com/maps/search/?api=1&query=V%C6%B0%E1%BB%9Dn%20%E1%BA%A8m%20Th%E1%BB%B1c%20Tu%E1%BA%A5n%20Thoan&query_place_id=ChIJex6l_P5bNDERrKgu36UvtRU,1
ChIJmdYnPwJbNDERklqjc5FAASo,ToTa Coffee,20.996209,105.5704027,4.8,12,đường Đồng Trúc,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 972 853 723,Quán cà phê,https://www.google.com/maps/search/?api=1&query=ToTa%20Coffee&query_place_id=ChIJmdYnPwJbNDERklqjc5FAASo,1
ChIJEYiITwBbNDER3WtawC8TXHs,England Coffee,21.021961,105.5909293,5.0,12,"2HCR+Q9M, Đường H06",Hà Nội,"Tây Phương, Hà Nội",VN,,,Quán cà phê,https://www.google.com/maps/search/?api=1&query=England%20Coffee&query_place_id=ChIJEYiITwBbNDER3WtawC8TXHs,1
ChIJ6QhXa15bNDERlv3Yk27NFMI,Karaoke Minh Dũng,21.02274,105.5837068,4.1,12,2HFM+3FW,Hà Nội,"Hạ Bằng, Hà Nội",VN,,,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Karaoke%20Minh%20D%C5%A9ng&query_place_id=ChIJ6QhXa15bNDERlv3Yk27NFMI,1
ChIJK_7gTgBbNDERHfCYyiBoq3M,An Coffee,21.0266969,105.5318397,4.9,12,,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 963 830 018,Quán cà phê,https://www.google.com/maps/search/?api=1&query=An%20Coffee&query_place_id=ChIJK_7gTgBbNDERHfCYyiBoq3M,1
ChIJHSwPCwBbNDERKiETjf0Az4A,Chu Choa,21.0134467,105.5187833,4.1,11,62 thôn 3,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 982 424 364,Nhà hàng món nướng,https://www.google.com/maps/search/?api=1&query=Chu%20Choa&query_place_id=ChIJHSwPCwBbNDERKiETjf0Az4A,1
ChIJW3aVu05bNDERFfxsKl_po70,Mỳ cay Hola,21.0135207,105.5187014,3.7,11,2G79+CF4,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 945 403 868,Quán ăn nhỏ,https://www.google.com/maps/search/?api=1&query=M%E1%BB%B3%20cay%20Hola&query_place_id=ChIJW3aVu05bNDERFfxsKl_po70,1
ChIJtc9jJQBbNDERnw4YCfugYoI,Gà Tươi Mạnh Hoạch,20.9900206,105.5101006,4.9,11,,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 925 973 111,Nhà hàng,https://www.google.com/maps/search/?api=1&query=G%C3%A0%20T%C6%B0%C6%A1i%20M%E1%BA%A1nh%20Ho%E1%BA%A1ch&query_place_id=ChIJtc9jJQBbNDERnw4YCfugYoI,1
ChIJ7UDKZABbNDERAkwqWIIAz0k,Bún Bảy Cường,21.0292651,105.5176141,4.7,11,"2GH9+P25, QL21A",Hà Nội,"Hòa Lạc, Hà Nội",VN,,,Nhà hàng chuyên phục vụ bữa sáng,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20B%E1%BA%A3y%20C%C6%B0%E1%BB%9Dng&query_place_id=ChIJ7UDKZABbNDERAkwqWIIAz0k,1
ChIJU3mZ5zlbNDERzpGMWg5zcgo,Mộc Coffee & Tea,21.0197063,105.5514604,2.8,11,,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 984 851 451,Quán cà phê,https://www.google.com/maps/search/?api=1&query=M%E1%BB%99c%20Coffee%20%26%20Tea&query_place_id=ChIJU3mZ5zlbNDERzpGMWg5zcgo,1
ChIJF4ricM1bNDERV6sFjagPli0,Hùng Béo Quán,20.9770405,105.554664,4.0,11,Thôn 5 Đường đôi,Hà Nội,"Phú Cát, Hà Nội",VN,,,Nhà hàng,https://www.google.com/maps/search/?api=1&query=H%C3%B9ng%20B%C3%A9o%20Qu%C3%A1n&query_place_id=ChIJF4ricM1bNDERV6sFjagPli0,1
ChIJuWbi88hbNDER22nlw1M1TQA,Music Cafe Điểm Hẹn,21.0267229,105.5908865,4.5,11,182 Đ. Chùa Tây Phương,Hà Nội,"Tây Phương, Hà Nội",VN,,+84 987 782 870,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Music%20Cafe%20%C4%90i%E1%BB%83m%20H%E1%BA%B9n&query_place_id=ChIJuWbi88hbNDER22nlw1M1TQA,1
ChIJOxLZewBbNDERRirOjlGe5fI,Chill Base Cafe,20.9838347,105.5273281,5.0,11,,Hà Nội,"Hòa Lạc, Hà Nội",VN,,,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Chill%20Base%20Cafe&query_place_id=ChIJOxLZewBbNDERRirOjlGe5fI,1
ChIJMygyAQBbNDERL3_yQb944a0,LaBoong,20.984728,105.5319857,5.0,11,Khu Công Nghệ Cao Hòa Lạc,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 398 163 562,Quán cà phê,https://www.google.com/maps/search/?api=1&query=LaBoong&query_place_id=ChIJMygyAQBbNDERL3_yQb944a0,1
ChIJz8LXUgBbNDERrNejePkR78s,Dohalive Organic Coffee,21.005027,105.522681,4.9,11,2G4F+23,Hà Nội,"Hòa Lạc, Hà Nội",VN,https://facebook.com/Dohalifeorganiccoffee/,+84 985 883 857,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Dohalive%20Organic%20Coffee&query_place_id=ChIJz8LXUgBbNDERrNejePkR78s,1
ChIJK2fwyupbNDEROo3ndpYaHBU,Silas de 2004 Cafe,21.0211898,105.5841083,4.4,11,"Đối diện trường tiểu học, 16 đường lưu niệm Bác Hồ, xã Cần Kiệm, huyện Thạch Thất, nội",Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 988 422 425,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Silas%20de%202004%20Cafe&query_place_id=ChIJK2fwyupbNDEROo3ndpYaHBU,1
ChIJ9SpkDgBZNDERQb-eKJ_lmCw,Ăn Đêm Mai Dũng,21.044785,105.508413,5.0,10,457 QL21A,Hà Nội,"Đoài Phương, Hà Nội",VN,,+84 367 869 795,Nhà hàng ăn nhanh,https://www.google.com/maps/search/?api=1&query=%C4%82n%20%C4%90%C3%AAm%20Mai%20D%C5%A9ng&query_place_id=ChIJ9SpkDgBZNDERQb-eKJ_lmCw,1
ChIJ5d5VYFhbNDERJqtYs521ask,Cơm Nhất Linh,21.0010128,105.521533,4.2,10,2G2C+CJ3,Hà Nội,"Hòa Lạc, Hà Nội",VN,,,Nhà hàng cơm,https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Nh%E1%BA%A5t%20Linh&query_place_id=ChIJ5d5VYFhbNDERJqtYs521ask,1
ChIJNTnWKgBbNDER_rky0_aB5So,Bún đậu Đồng Mô 2,21.0113205,105.5187922,2.9,10,"2G69+GGV, 130",Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 829 170 333,Nhà hàng gia đình,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20%C4%91%E1%BA%ADu%20%C4%90%E1%BB%93ng%20M%C3%B4%202&query_place_id=ChIJNTnWKgBbNDER_rky0_aB5So,1
ChIJy_k8yIxdNDERZcapPAY-gZA,Bún Chả Sơn Hiền,20.9954383,105.4869988,3.6,10,Qua 30m Cty CP An Thinh Group - Thôn Gò Mè xã Yên Bình,Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 963 893 392,Quán mì,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ch%E1%BA%A3%20S%C6%A1n%20Hi%E1%BB%81n&query_place_id=ChIJy_k8yIxdNDERZcapPAY-gZA,1
ChIJG0bOJplRNDERg7udXWM9Cuk,Thiên Nhiên Quán,21.0260275,105.5600771,5.0,10,"Khu đấu giá, ĐT419",Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 982 888 217,Công ty tư vấn bất động sản,https://www.google.com/maps/search/?api=1&query=Thi%C3%AAn%20Nhi%C3%AAn%20Qu%C3%A1n&query_place_id=ChIJG0bOJplRNDERg7udXWM9Cuk,0
ChIJZQACMwBbNDERzG27AglWSIc,CƠM TẤM 998,21.0188991,105.5507577,4.6,10,Số 18 đường mục uyên công nghệ,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 327 072 955,Nhà hàng cơm,https://www.google.com/maps/search/?api=1&query=C%C6%A0M%20T%E1%BA%A4M%20998&query_place_id=ChIJZQACMwBbNDERzG27AglWSIc,1
ChIJ-Xr7WwBbNDERohYovvVkMFA,Nhà Hàng Xuân Thủy,21.0200945,105.5550226,4.1,10,2HC4+335,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 976 710 418,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Xu%C3%A2n%20Th%E1%BB%A7y&query_place_id=ChIJ-Xr7WwBbNDERohYovvVkMFA,1
ChIJo5PdOABbNDERHaVyZ3AeGzw,Hẻm Cafe,21.016997,105.549924,4.5,10,Ngõ 69 Đường Tân Xã,Hà Nội,"Hạ Bằng, Hà Nội",VN,,,Quán cà phê,https://www.google.com/maps/search/?api=1&query=H%E1%BA%BBm%20Cafe&query_place_id=ChIJo5PdOABbNDERHaVyZ3AeGzw,1
ChIJPbrazNJbNDERK9-UUdGFFB0,Bún Phở Hường Béo,21.008001,105.556773,4.2,10,,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 967 904 527,Nhà hàng,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ph%E1%BB%9F%20H%C6%B0%E1%BB%9Dng%20B%C3%A9o&query_place_id=ChIJPbrazNJbNDERK9-UUdGFFB0,1
ChIJu2ValuRbNDERtGfR_ORxAD8,Quán Lẩu Quang Ích 68,21.0117804,105.5554279,3.3,10,2H64+P56,Hà Nội,"Hạ Bằng, Hà Nội",VN,,,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20L%E1%BA%A9u%20Quang%20%C3%8Dch%2068&query_place_id=ChIJu2ValuRbNDERtGfR_ORxAD8,1
ChIJJyYbkxhbNDERazweooC6f-M,Quán Dê Tứ Hải Trâu 97,21.0247506,105.5862309,4.6,10,338 Thạch Xá,Hà Nội,"Tây Phương, Hà Nội",VN,,+84 973 944 528,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20D%C3%AA%20T%E1%BB%A9%20H%E1%BA%A3i%20Tr%C3%A2u%2097&query_place_id=ChIJJyYbkxhbNDERazweooC6f-M,1
ChIJnfq9w_JZNDERuwOBcUS_fxk,Pizza Minh Quyền,21.0287501,105.5810569,4.4,10,thôn yên lạc 3,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 587 986 986,Cửa hàng bán pizza mang về,https://www.google.com/maps/search/?api=1&query=Pizza%20Minh%20Quy%E1%BB%81n&query_place_id=ChIJnfq9w_JZNDERuwOBcUS_fxk,1
ChIJZyLnJwBbNDEReDkVZSk9yT8,Gà rán Hàn Quốc,21.0239932,105.5493406,4.2,10,2GFX+JP4,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 986 840 174,Nhà hàng Hàn Quốc,https://www.google.com/maps/search/?api=1&query=G%C3%A0%20r%C3%A1n%20H%C3%A0n%20Qu%E1%BB%91c&query_place_id=ChIJZyLnJwBbNDEReDkVZSk9yT8,1
ChIJx9qdEABbNDERGKKj7FdKwqk,CK Coffee,20.9989607,105.5335602,4.9,10,Khu Công Nghệ Cao Hòa Lạc,Hà Nội,"Hòa Lạc, Hà Nội",VN,,,Quán cà phê,https://www.google.com/maps/search/?api=1&query=CK%20Coffee&query_place_id=ChIJx9qdEABbNDERGKKj7FdKwqk,1
ChIJ9Zw5WgBbNDERoMdBJYjhFFw,Nhà Hàng Gà Ri Thanh Tuấn,21.0070671,105.5180433,4.0,9,QL21,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 977 555 072,Nhà hàng thịt gà,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Ri%20Thanh%20Tu%E1%BA%A5n&query_place_id=ChIJ9Zw5WgBbNDERoMdBJYjhFFw,1
ChIJ8TkdA2pbNDERT-O29GX4XAI,Ốc Huyền,21.0033291,105.5200967,4.9,9,2G3C+82V,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 974 626 929,Quán ăn nhỏ,https://www.google.com/maps/search/?api=1&query=%E1%BB%90c%20Huy%E1%BB%81n&query_place_id=ChIJ8TkdA2pbNDERT-O29GX4XAI,1
ChIJ-XGWfQBdNDER8IYkEkJ30p4,Nhà Hàng Ngọc Trai Tiến Xuân,20.9962952,105.4796916,5.0,9,XFWJ+FM,Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 567 788 888,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Ng%E1%BB%8Dc%20Trai%20Ti%E1%BA%BFn%20Xu%C3%A2n&query_place_id=ChIJ-XGWfQBdNDER8IYkEkJ30p4,1
ChIJhY2b85yrNTERmxgNmeJY9S4,Nhà Hàng Hưng Gia,20.9844571,105.5258742,4.7,9,"XGMG+Q8Q, QL21",Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 904 900 385,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20H%C6%B0ng%20Gia&query_place_id=ChIJhY2b85yrNTERmxgNmeJY9S4,1
