"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","url","categoryName"
"Quán bia Đức Hạnh","5","1","XHG4+R35, Thôn5","Hà Nội","Phú Cát, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20bia%20%C4%90%E1%BB%A9c%20H%E1%BA%A1nh&query_place_id=ChIJAVVfeXNbNDERpmFoMqJPxfU","Nhà hàng"
"Hùng Béo Quán","4","11","Thôn 5 Đường đôi","Hà Nội","Phú Cát, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=H%C3%B9ng%20B%C3%A9o%20Qu%C3%A1n&query_place_id=ChIJF4ricM1bNDERV6sFjagPli0","Nhà hàng"
"Nhà Hàng Duy Nghĩa","4.3","19","Km 26+500","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 973 974 272","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Duy%20Ngh%C4%A9a&query_place_id=ChIJ9zSnNEFbNDEReJy158HTiTE","Nhà hàng"
"Lý Loan Quán Ngon","3.8","4","XGMH+P24","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 964 548 596","Nhà hàng cơm",,,,,,"https://www.google.com/maps/search/?api=1&query=L%C3%BD%20Loan%20Qu%C3%A1n%20Ngon&query_place_id=ChIJDXoQQOtbNDERTul3mxwSgt0","Nhà hàng cơm"
"Nhà Hàng Lẩu Trang Ánh","4.7","3",,"Hà Nội","Phú Cát, Hà Nội","VN",,"","Nhà hàng món lẩu",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20L%E1%BA%A9u%20Trang%20%C3%81nh&query_place_id=ChIJaVaHqLBbNDERouW15CYJG_c","Nhà hàng món lẩu"
"Nụ Ốc Đồ Ăn Vặt","5","2","XGQH+4V","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 963 355 783","Quán ăn nhỏ",,,,,,"https://www.google.com/maps/search/?api=1&query=N%E1%BB%A5%20%E1%BB%90c%20%C4%90%E1%BB%93%20%C4%82n%20V%E1%BA%B7t&query_place_id=ChIJfa5IgE1bNDEREYzFvbwP62I","Quán ăn nhỏ"
"Phở Hưng","5","5","XHM3+QWJ","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 965 822 865","Nhà hàng phở",,,,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20H%C6%B0ng&query_place_id=ChIJgw2njzRbNDERjHhF6CaZSfQ","Nhà hàng phở"
"Cây Sung Quán","3.9","17","XGMG+QXX, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=C%C3%A2y%20Sung%20Qu%C3%A1n&query_place_id=ChIJl7uGQ1-rNTER8ETImCd4G-s","Nhà hàng"
"Phở Bò Phan Thị","2.8","16","XGMG+CCM","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 925 288 288","Nhà hàng phở",,,,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20B%C3%B2%20Phan%20Th%E1%BB%8B&query_place_id=ChIJzfwgKmhbNDERuYVQzpwYUC8","Nhà hàng phở"
"Tuyết Trọng Restaurant","3.4","69","XGMG+7F9, QL21A","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 971 442 221","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Tuy%E1%BA%BFt%20Tr%E1%BB%8Dng%20Restaurant&query_place_id=ChIJ45tN5QxbNDERKK0_gbG-CfA","Nhà hàng"
"Trụ sở GTVM - Vườn Bia Panorama","1.5","2","XGMH+J46","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán bia sân vườn",,,,,,"https://www.google.com/maps/search/?api=1&query=Tr%E1%BB%A5%20s%E1%BB%9F%20GTVM%20-%20V%C6%B0%E1%BB%9Dn%20Bia%20Panorama&query_place_id=ChIJP9qeKABbNDERUHGvVZWhldY","Quán bia sân vườn"
"Bún Chả Hướng Phương Nam",,,,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ch%E1%BA%A3%20H%C6%B0%E1%BB%9Bng%20Ph%C6%B0%C6%A1ng%20Nam&query_place_id=ChIJOQ6w9wxbNDEReDQgZpOCpB0","Nhà hàng"
"T-One Quán","3.4","7","XGQP+58G, Cầu vượt công nghệ cao","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 904 684 777","Quán bia",,,,,,"https://www.google.com/maps/search/?api=1&query=T-One%20Qu%C3%A1n&query_place_id=ChIJsyin1QdbNDERYKcawkOozy0","Quán bia"
"Trà Đá Bá Đạo","5","5","XHQC+G2V, ĐL Thăng Long","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 977 915 769","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Tr%C3%A0%20%C4%90%C3%A1%20B%C3%A1%20%C4%90%E1%BA%A1o&query_place_id=ChIJcwtgTgBbNDER4uvRC00WKDA","Quán cà phê"
"Thanh Hằng quán coffee",,,"Km13 ĐL Thăng Long","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Thanh%20H%E1%BA%B1ng%20qu%C3%A1n%20coffee&query_place_id=ChIJPZg3HwBbNDERtz_pOrrOFcw","Quán cà phê"
"Bình Giang Quán","4.5","29","xóm đường đôi thôn 5","Hà Nội","Phú Cát, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=B%C3%ACnh%20Giang%20Qu%C3%A1n&query_place_id=ChIJZa42vnNbNDERL7p1U1bs9fI","Nhà hàng"
"Hùng Còi Quán","4.2","5","XHG5+V8R","Hà Nội","Phú Cát, Hà Nội","VN",,"+84 981 693 186","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=H%C3%B9ng%20C%C3%B2i%20Qu%C3%A1n&query_place_id=ChIJ0W6WWQBbNDERrx3I6wHfkSQ","Nhà hàng"
"Nhà Hàng Dốc Tiên","3.7","23","XHP5+QC6, Thôn Khoang Mái","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 936 646 242","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20D%E1%BB%91c%20Ti%C3%AAn&query_place_id=ChIJW8ybGPhaNDERHEHRr9WmNj4","Nhà hàng"
"Nhà Hàng Sáu Thân","5","1","Sn 22 Hà nội","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 945 836 767","Nhà hàng","Nhà hàng gia đình",,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20S%C3%A1u%20Th%C3%A2n&query_place_id=ChIJHbJGHABbNDERDyOijW9nJhY","Nhà hàng"
"Phở Mai","5","3","XHRF+JFJ","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng phở",,,,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Mai&query_place_id=ChIJD6b9YQBbNDERtvguopmLhI4","Nhà hàng phở"
"Cơm Cô Sáu","4.6","5","XHX3+JRM","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 342 348 370","Nhà hàng cơm",,,,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20C%C3%B4%20S%C3%A1u&query_place_id=ChIJp9eVSABbNDERQ9m00dlgbus","Nhà hàng cơm"
"Cafe Tuyên 3","4","5","Thôn5","Hà Nội","Phú Cát, Hà Nội","VN",,"","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Cafe%20Tuy%C3%AAn%203&query_place_id=ChIJoYAdiF5bNDERYY2Nz8Ik7AE","Quán cà phê"
"Lẩu Ngon Bún Chả","5","1",,"Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 945 333 414","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20Ngon%20B%C3%BAn%20Ch%E1%BA%A3&query_place_id=ChIJQ9txOFpbNDERNqvMbrOOI0w","Nhà hàng"
"Khu Dịch Vụ AURORA Service Area","4.6","26","XGW7+HJF","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 375 363 992","Nhà hàng","Giao đồ ăn","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=Khu%20D%E1%BB%8Bch%20V%E1%BB%A5%20AURORA%20Service%20Area&query_place_id=ChIJX497GgBbNDERQSBWesGo78k","Nhà hàng"
"Nướng Than Hoa Fuca","5","8","2G29+PVF","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng món nướng",,,,,,"https://www.google.com/maps/search/?api=1&query=N%C6%B0%E1%BB%9Bng%20Than%20Hoa%20Fuca&query_place_id=ChIJD1cjYQBbNDERtzxN8bNKurs","Nhà hàng món nướng"
"Choén","5","1","2G59+26W","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 336 550 836","Nhà hàng ăn nhanh",,,,,,"https://www.google.com/maps/search/?api=1&query=Cho%C3%A9n&query_place_id=ChIJrdtOBwBbNDERiqAplycVB4g","Nhà hàng ăn nhanh"
"Vua Gà Quang Thọ","4","286","QL21","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.viet-biz.com/vua-g%C3%A0-quang-th%E1%BB%8D-097-244-79-62","+84 972 447 962","Nhà hàng thịt gà",,,,,,"https://www.google.com/maps/search/?api=1&query=Vua%20G%C3%A0%20Quang%20Th%E1%BB%8D&query_place_id=ChIJwQL7kHNFNDEREPyKgxZBp6w","Nhà hàng thịt gà"
"Lẩu Chất","4.3","6",,"Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/share/1JyaVANvXW/?mibextid=wwXIfr","+84 981 218 123","Nhà hàng","Nhà hàng gia đình",,,,,"https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20Ch%E1%BA%A5t&query_place_id=ChIJU7LuTwBbNDERcSQtXMvbik8","Nhà hàng"
"CƠM SẠCH 17","4.9","126","2G39+HVC","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 822 783 123","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A0M%20S%E1%BA%A0CH%2017&query_place_id=ChIJ-UsoJwBbNDERk-mzYh2_GEE","Nhà hàng"
"Nhà Hàng Quốc Gia","4.8","6",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 973 696 159","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Qu%E1%BB%91c%20Gia&query_place_id=ChIJQZIBZABbNDERR0fOq_RA1xQ","Nhà hàng"
"Ốc Huyền","4.9","9","2G3C+82V","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 974 626 929","Quán ăn nhỏ",,,,,,"https://www.google.com/maps/search/?api=1&query=%E1%BB%90c%20Huy%E1%BB%81n&query_place_id=ChIJ8TkdA2pbNDERT-O29GX4XAI","Quán ăn nhỏ"
"Nhà Gia Bảo","5","1","826 Thôn 2","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng bán đồ ăn mang về","Trạm sạc điện thoại di động",,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20Gia%20B%E1%BA%A3o&query_place_id=ChIJnxXm-WFbNDER424-LiKZI5s","Nhà hàng bán đồ ăn mang về"
"Bánh tráng Mon","4.8","21","2G39+MQF","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 971 069 888","Nhà hàng ăn nhanh",,,,,,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20tr%C3%A1ng%20Mon&query_place_id=ChIJ_xinXQBbNDER6XVdDnMAKw8","Nhà hàng ăn nhanh"
"Hẻm Nướng 1978","3","4","Đường vào TTQPAN","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 327 127 277","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=H%E1%BA%BBm%20N%C6%B0%E1%BB%9Bng%201978&query_place_id=ChIJmT_RO51bNDER7y3B3R_I3Yw","Nhà hàng"
"Nhà Hàng Thanh Thuý","4.1","62",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 848 555 111","Nhà hàng thịt gà",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Thanh%20Thu%C3%BD&query_place_id=ChIJy3QmB0RbNDERbQUQ2PjR020","Nhà hàng thịt gà"
"Nhà hàng Gà Ri Hiền Hân","4.4","17",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 915 313 525","Nhà hàng thịt gà",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20G%C3%A0%20Ri%20Hi%E1%BB%81n%20H%C3%A2n&query_place_id=ChIJVcCXdC1bNDERzIIStdLdri0","Nhà hàng thịt gà"
"Cơm Thu Thủy","3.9","61",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 989 021 687","Nhà hàng cơm",,,,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Thu%20Th%E1%BB%A7y&query_place_id=ChIJ53IFtWRbNDERMcEuZ2CEqUQ","Nhà hàng cơm"
"Bún Chả Thu Hà","5","1","2G3C+27M, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 898 243 680","Nhà hàng phục vụ phần ăn nhỏ",,,,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ch%E1%BA%A3%20Thu%20H%C3%A0&query_place_id=ChIJ9RPqCABbNDER7Uqfqj-1VTY","Nhà hàng phục vụ phần ăn nhỏ"
"Nhà Hàng Gà Ri Phú Bình 2","3.7","410",,"Hà Nội","Hòa Lạc, Hà Nội","VN","http://phubinhhoalac.com.vn/","+84 981 242 299","Nhà hàng thịt gà",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Ri%20Ph%C3%BA%20B%C3%ACnh%202&query_place_id=ChIJDbOOXJdbNDERKd7x2P_YDZc","Nhà hàng thịt gà"
"Gà Mái Ghẹ - Gửi Trọn Hương Vị Đồng Quê","4.1","32",,"Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.chaoquan.vn/","+84 963 236 886","Nhà hàng","Cửa hàng bán thực phẩm đặc sản",,,,,"https://www.google.com/maps/search/?api=1&query=G%C3%A0%20M%C3%A1i%20Gh%E1%BA%B9%20-%20G%E1%BB%ADi%20Tr%E1%BB%8Dn%20H%C6%B0%C6%A1ng%20V%E1%BB%8B%20%C4%90%E1%BB%93ng%20Qu%C3%AA&query_place_id=ChIJTal7h8VbNDERz4d3aifgDXA","Nhà hàng"
"Ốc Bống ( Địa chỉ duy nhất )","4","17","Đ. 21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng bán đồ ăn mang về",,,,,,"https://www.google.com/maps/search/?api=1&query=%E1%BB%90c%20B%E1%BB%91ng%20(%20%C4%90%E1%BB%8Ba%20ch%E1%BB%89%20duy%20nh%E1%BA%A5t%20)&query_place_id=ChIJqQNmd1pbNDERyrzTy4YKJyI","Nhà hàng bán đồ ăn mang về"
"Tây Phương Quán","5","3","2HFF+CR9","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=T%C3%A2y%20Ph%C6%B0%C6%A1ng%20Qu%C3%A1n&query_place_id=ChIJ40EkIABbNDEReKornra6uJU","Nhà hàng"
"Số nhà 42 - Xóm mới Cần Kiệm","5","1","2HFM+4GR","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 927 775 566","Nhà hàng hải sản",,,,,,"https://www.google.com/maps/search/?api=1&query=S%E1%BB%91%20nh%C3%A0%2042%20-%20X%C3%B3m%20m%E1%BB%9Bi%20C%E1%BA%A7n%20Ki%E1%BB%87m&query_place_id=ChIJZSBlJwBbNDERiweGLEeL_eE","Nhà hàng hải sản"
"Nhà Hàng Nón Việt","4.5","4","Đường H11","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20N%C3%B3n%20Vi%E1%BB%87t&query_place_id=ChIJJW1mgiZbNDERjQGC9xD4zi8","Nhà hàng"
"Khu du lịch sinh thái đồi thông Quang Huy","4.4","24","2HCP+R5F","Hà Nội","Hạ Bằng, Hà Nội","VN","http://quanghuydulich.vn/","+84 966 615 662","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Khu%20du%20l%E1%BB%8Bch%20sinh%20th%C3%A1i%20%C4%91%E1%BB%93i%20th%C3%B4ng%20Quang%20Huy&query_place_id=ChIJ0-uFJWNbNDER6mww_kRPA6k","Nhà hàng"
"Nhà Hàng Phúc Lâm ( tên cũ Nhà Hàng Năm Sao)","5","1","2HFP+F2Q","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Ph%C3%BAc%20L%C3%A2m%20(%20t%C3%AAn%20c%C5%A9%20Nh%C3%A0%20H%C3%A0ng%20N%C4%83m%20Sao)&query_place_id=ChIJmdP2YQBbNDERqUfSmieP5gc","Nhà hàng"
"Cafe chill","5","1","2HCM+8G2","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng Hàn Quốc",,,,,,"https://www.google.com/maps/search/?api=1&query=Cafe%20chill&query_place_id=ChIJn1YSHwBbNDER-kZiSUWOucw","Nhà hàng Hàn Quốc"
"Quán Dê Tứ Hải Trâu 97","4.6","10","338 Thạch Xá","Hà Nội","Tây Phương, Hà Nội","VN",,"+84 973 944 528","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20D%C3%AA%20T%E1%BB%A9%20H%E1%BA%A3i%20Tr%C3%A2u%2097&query_place_id=ChIJJyYbkxhbNDERazweooC6f-M","Nhà hàng"
"Đặc sản Lòng ngon","4.1","9","2HFP+G3H","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 375 058 651","Nhà hàng chuyên phục vụ bữa sáng",,,,,,"https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BA%B7c%20s%E1%BA%A3n%20L%C3%B2ng%20ngon&query_place_id=ChIJo9djM1BbNDER4XoJX3y3N10","Nhà hàng chuyên phục vụ bữa sáng"
"Phở Bò Vũ Đại","4","1","Đường H11","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20B%C3%B2%20V%C5%A9%20%C4%90%E1%BA%A1i&query_place_id=ChIJFe1rohBbNDERSxo5FCCxFuA","Nhà hàng"
"Nhà Hàng Minh Đạt","4.4","17",,"Hà Nội","Thạch Thất, Hà Nội","VN",,"+84 906 080 578","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Minh%20%C4%90%E1%BA%A1t&query_place_id=ChIJRQJb_G9ZNDERsV0Ewr0JqSg","Nhà hàng"
"Nhà Sàn Cá Lăng Anh Dũng","4.8","12","2H8F+QQ7","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 938 581 988","Nhà hàng món cá",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20S%C3%A0n%20C%C3%A1%20L%C4%83ng%20Anh%20D%C5%A9ng&query_place_id=ChIJsSHzQDpbNDER3QqvgnlSwYE","Nhà hàng món cá"
"Nhà hàng Vườn Chim Cần Kiệm","5","1","đường Lưu Niệm/68 Bác Hồ","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20V%C6%B0%E1%BB%9Dn%20Chim%20C%E1%BA%A7n%20Ki%E1%BB%87m&query_place_id=ChIJxUXiUQBbNDERPItF2QycnLs","Nhà hàng"
"Nhà hàng Ngọc Trai – cơ sở Cần Kiệm","5","4","2H8G+WQ6","Hà Nội","Thạch Thất, Hà Nội","VN","https://www.facebook.com/lon.tay.bac.705936","+84 853 645 555","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20Ng%E1%BB%8Dc%20Trai%20%E2%80%93%20c%C6%A1%20s%E1%BB%9F%20C%E1%BA%A7n%20Ki%E1%BB%87m&query_place_id=ChIJHRIUDgBbNDER89p8363Syso","Nhà hàng"
"So2 đường chiến thắng yên lac2 cần kiệm thạch thất hà nội",,,"2HHF+HC6 So2 chien thắng yên lac2","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng chuyên phục vụ bữa sáng",,,,,,"https://www.google.com/maps/search/?api=1&query=So2%20%C4%91%C6%B0%E1%BB%9Dng%20chi%E1%BA%BFn%20th%E1%BA%AFng%20y%C3%AAn%20lac2%20c%E1%BA%A7n%20ki%E1%BB%87m%20th%E1%BA%A1ch%20th%E1%BA%A5t%20h%C3%A0%20n%E1%BB%99i&query_place_id=ChIJs6S6aABbNDERAFekMY4KLaI","Nhà hàng chuyên phục vụ bữa sáng"
"Lương Sơn Bạc","5","1","2H8F+MGQ","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=L%C6%B0%C6%A1ng%20S%C6%A1n%20B%E1%BA%A1c&query_place_id=ChIJFcNAEgBbNDERO437Nm2aFg0","Nhà hàng"
"A Lử - Vua Ẩm Thực - Thạch Thất","5","3","2HWM+WP8","Hà Nội","Thạch Thất, Hà Nội","VN",,"+84 984 698 836","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=A%20L%E1%BB%AD%20-%20Vua%20%E1%BA%A8m%20Th%E1%BB%B1c%20-%20Th%E1%BA%A1ch%20Th%E1%BA%A5t&query_place_id=ChIJE-3paABZNDERkCdUMYBjOd8","Nhà hàng"
"Pizza Minh Quyền","4.4","10","thôn yên lạc 3","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 587 986 986","Cửa hàng bán pizza mang về",,,,,,"https://www.google.com/maps/search/?api=1&query=Pizza%20Minh%20Quy%E1%BB%81n&query_place_id=ChIJnfq9w_JZNDERuwOBcUS_fxk","Cửa hàng bán pizza mang về"
"Dòng Sông Bia","4.2","5","218 Đường H11","Hà Nội","Hạ Bằng, Hà Nội","VN","https://www.facebook.com/profile.php?id=100063723111112","+84 975 232 338","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=D%C3%B2ng%20S%C3%B4ng%20Bia&query_place_id=ChIJayzFV8ZbNDERUg0L8Z140p4","Nhà hàng"
"Nhà Hàng Tuấn Hiền - Lẩu Cua Đồng - Lẩu Lươn","5","1","Chân Đồi Thông, Đường Phú Đa","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 823 331 987","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Tu%E1%BA%A5n%20Hi%E1%BB%81n%20-%20L%E1%BA%A9u%20Cua%20%C4%90%E1%BB%93ng%20-%20L%E1%BA%A9u%20L%C6%B0%C6%A1n&query_place_id=ChIJcYAnogZbNDERJkcQzuafe4Q","Nhà hàng"
"Quán bánh tẻ,chè đậu đen đồng mô","5","2","Cầu đồng mô, Đ. Chùa Tây Phương","Hà Nội","Tây Phương, Hà Nội","VN",,"+84 367 289 386","Nhà hàng chuyên phục vụ bữa sáng",,,,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20b%C3%A1nh%20t%E1%BA%BB%2Cch%C3%A8%20%C4%91%E1%BA%ADu%20%C4%91en%20%C4%91%E1%BB%93ng%20m%C3%B4&query_place_id=ChIJQRDgXQBbNDERKmkLOujkTkA","Nhà hàng chuyên phục vụ bữa sáng"
"Bún Tiến Nhung","3.3","4","2HFP+XVF","Hà Nội","Tây Phương, Hà Nội","VN",,"+84 946 746 744","Quán mì",,,,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ti%E1%BA%BFn%20Nhung&query_place_id=ChIJTeKQ-8JbNDERUeFlZtmOxkI","Quán mì"
"Nhà hàng Thanh Trúc",,,"31 Đường Cần Kiệm","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20Thanh%20Tr%C3%BAc&query_place_id=ChIJxx7-V8RbNDERDr3WNIzFblg","Nhà hàng"
"Mộc Quán",,,,"Hà Nội","Tây Phương, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=M%E1%BB%99c%20Qu%C3%A1n&query_place_id=ChIJJd1cswZaNDER2SnmPwPBzRw","Nhà hàng"
"Nhà Hàng Cường Lệ",,,"2HFP+J5Q","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20C%C6%B0%E1%BB%9Dng%20L%E1%BB%87&query_place_id=ChIJ_VxqBwBbNDERkmp5Vy53oaI","Nhà hàng"
"Gà ri Mạnh Cường","3.9","40","QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 983 508 066","Nhà hàng thịt gà",,,,,,"https://www.google.com/maps/search/?api=1&query=G%C3%A0%20ri%20Ma%CC%A3nh%20C%C6%B0%C6%A1%CC%80ng&query_place_id=ChIJA1K-_0lbNDERsIAWQC-QL-0","Nhà hàng thịt gà"
"Phở 10 Lý Quốc Sư Hòa Lạc","2.3","3","XGQ9+XFV","Hà Nội","Yên Xuân, Hà Nội","VN",,"","Nhà hàng phở",,,,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%2010%20L%C3%BD%20Qu%E1%BB%91c%20S%C6%B0%20H%C3%B2a%20L%E1%BA%A1c&query_place_id=ChIJxciDMABbNDERYlKOCyA7-S4","Nhà hàng phở"
"Nhà Hàng Huy Cường","3.9","48","7 Thôn 6","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 916 611 972","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Huy%20C%C6%B0%E1%BB%9Dng&query_place_id=ChIJLXTaz5lbNDERiT2n-g-RImg","Nhà hàng"
"Thanh Xuân Quán",,,"2G2C+55M","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Thanh%20Xu%C3%A2n%20Qu%C3%A1n&query_place_id=ChIJQT87QQBbNDER7u3S8JXurQI","Nhà hàng"
"Mỳ Cay Seoul Hàn Quốc","3.4","33","2G39+QP7","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/datbavi.hn?mibextid=LQQJ4d","+84 984 117 955","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=M%E1%BB%B3%20Cay%20Seoul%20H%C3%A0n%20Qu%E1%BB%91c&query_place_id=ChIJAaL7_GlbNDERk8kScBxGkkI","Nhà hàng"
"Canteen HOLA","3.4","15",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng","Quán ăn tự phục vụ",,,,,"https://www.google.com/maps/search/?api=1&query=Canteen%20HOLA&query_place_id=ChIJ2Y20cPJbNDERtVlRmRWsfOE","Nhà hàng"
