"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","url","categoryName"
"Hoa Hồng Quán","5","1","64 QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/share/1BcZDCMeEH/?mibextid=wwXIfr","+84 886 807 777","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Hoa%20H%E1%BB%93ng%20Qu%C3%A1n&query_place_id=ChIJF7MqUABbNDER78IFbUUpua4","Nhà hàng"
"Get&Go Cafe","4.7","115","QL21B","Hà Nội","Hòa Lạc, Hà Nội","VN","http://getngo.vn/","+84 981 469 889","Quán cà phê","Nhà hàng bán đồ ăn mang về",,,"https://www.google.com/maps/search/?api=1&query=Get%26Go%20Cafe&query_place_id=ChIJ6f6N3XhbNDERQgnadWt3m7k","Quán cà phê"
"Nhà hàng Cơm Quê Phú Bà - Hương Vị Việt","5","1","Nhà 09","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 562 712 222","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20C%C6%A1m%20Qu%C3%AA%20Ph%C3%BA%20B%C3%A0%20-%20H%C6%B0%C6%A1ng%20V%E1%BB%8B%20Vi%E1%BB%87t&query_place_id=ChIJH_NyWABbNDERujHbDDzUs2Q","Nhà hàng"
"Ghiền BBQ","4.7","12","2G69+VCF","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/Ghi%E1%BB%81n-BBQ-104740305680710/","+84 372 311 859","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Ghi%E1%BB%81n%20BBQ&query_place_id=ChIJL4rgDqxbNDERN82akdq4EnA","Nhà hàng"
"Bánh tráng Mon","4.8","21","2G39+MQF","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 971 069 888","Nhà hàng ăn nhanh",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20tr%C3%A1ng%20Mon&query_place_id=ChIJ_xinXQBbNDER6XVdDnMAKw8","Nhà hàng ăn nhanh"
"Xôi Nam","5","5","Km 15 QL21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 357 244 710","Gian hàng rong",,,,"https://www.google.com/maps/search/?api=1&query=X%C3%B4i%20Nam&query_place_id=ChIJKUngL8pbNDERBaQIw7-WupM","Gian hàng rong"
"Nhà Hàng Hồ Sen","4.8","5","2G5F+FRH","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20H%E1%BB%93%20Sen&query_place_id=ChIJ5fGpH_hbNDEReWKBO9hIvho","Nhà hàng"
"Bia Hơi Chuẩn Hoàng Hoa Thám","5","1","Đường 21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Bia%20H%C6%A1i%20Chu%E1%BA%A9n%20Ho%C3%A0ng%20Hoa%20Th%C3%A1m&query_place_id=ChIJYQh0iAlbNDER9rfwlb6HnH0","Nhà hàng"
"Phở Quang Anh","5","2","12 cụm 1","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 375 630 924","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Quang%20Anh&query_place_id=ChIJK3S2VgRbNDER6QZOO2RyENw","Nhà hàng"
"Nhà Hàng 666","4.3","18","21°00'28.2""N 105°31'04.5""E","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.google.com.vn/search?tbm=isch&q=666#imgrc=L0QB86Q2T2XE5M","+84 982 283 666","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20666&query_place_id=ChIJdfZ_sV9bNDER6naCGcDXwK0","Nhà hàng"
"Chu Choa","4.1","11","62 thôn 3","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 982 424 364","Nhà hàng món nướng",,,,"https://www.google.com/maps/search/?api=1&query=Chu%20Choa&query_place_id=ChIJHSwPCwBbNDERKiETjf0Az4A","Nhà hàng món nướng"
"Ốc Huyền","4.9","9","2G3C+82V","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 974 626 929","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=%E1%BB%90c%20Huy%E1%BB%81n&query_place_id=ChIJ8TkdA2pbNDERT-O29GX4XAI","Quán ăn nhỏ"
"Ramen Ten","3.8","41","2G69+H9Q, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 916 327 945","Nhà hàng Nhật Bản",,,,"https://www.google.com/maps/search/?api=1&query=Ramen%20Ten&query_place_id=ChIJ2V87OwBbNDERea7m-dwT2v0","Nhà hàng Nhật Bản"
"Quán Tổ Chim","4.1","34","2G2C+5MF, QL21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 932 292 116","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20T%E1%BB%95%20Chim&query_place_id=ChIJTZinv-lbNDERxSZbjbT79js","Nhà hàng"
"Bánh Cuốn Nam Kều","4.6","19","thôn 3 - xã, 35 cụm 1","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 327 103 326","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20Cu%E1%BB%91n%20Nam%20K%E1%BB%81u&query_place_id=ChIJvxWwfrlbNDERFYNGAz62eVY","Nhà hàng"
"Hotpot Hola","4.7","7",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 918 060 322","Nhà hàng","Quán bia sân vườn",,,"https://www.google.com/maps/search/?api=1&query=Hotpot%20Hola&query_place_id=ChIJCehPVwBbNDERyCrqIdPI8ZE","Nhà hàng"
"Nhà Hàng Thanh Thuý","4.1","62",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 848 555 111","Nhà hàng thịt gà",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Thanh%20Thu%C3%BD&query_place_id=ChIJy3QmB0RbNDERbQUQ2PjR020","Nhà hàng thịt gà"
"Tê Tê Chicken","4","131",,"Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/profile.php?id=61557834340814","+84 838 633 399","Quán gà rán mang đi",,,,"https://www.google.com/maps/search/?api=1&query=T%C3%AA%20T%C3%AA%20Chicken&query_place_id=ChIJnXn0ddZbNDERzUuRUdXk5Xc","Quán gà rán mang đi"
"Cơm Nguyễn Tuấn","3.3","12","214 thôn 3","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/canhdung.nguyen.927?mibextid=ZbWKwL","+84 983 556 183","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Nguy%E1%BB%85n%20Tu%E1%BA%A5n&query_place_id=ChIJQcqgwpZbNDERqdDkIT5HefE","Nhà hàng cơm"
"Góc Phố Quán","4.5","25","2G2C+FHX","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=G%C3%B3c%20Ph%E1%BB%91%20Qu%C3%A1n&query_place_id=ChIJUdaBfxlbNDERnHpo5VmEWnw","Nhà hàng"
"Nhà Hàng Phố Bia","4.7","3","2G79+7MH","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 869 663 936","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Ph%E1%BB%91%20Bia&query_place_id=ChIJfcAc3pJbNDERxMFbt9UtUZc","Nhà hàng"
"Nhà Hàng Quỳnh Mai 999","5","2","đường 21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 388 734 958","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Qu%E1%BB%B3nh%20Mai%20999&query_place_id=ChIJuaRa-DZbNDERYIh3xj22ChA","Nhà hàng"
"Hẻm Nướng 1978","3","4","Đường vào TTQPAN","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 327 127 277","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=H%E1%BA%BBm%20N%C6%B0%E1%BB%9Bng%201978&query_place_id=ChIJmT_RO51bNDER7y3B3R_I3Yw","Nhà hàng"
"Chốt Quán - Bánh Mì Patê Xá Xíu, Thịt Nướng Doner Kebab, Lạp Xưởng Xúc Xích","5","1","87 Thôn 3","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 988 581 291","Nhà hàng ăn nhanh",,,,"https://www.google.com/maps/search/?api=1&query=Ch%E1%BB%91t%20Qu%C3%A1n%20-%20B%C3%A1nh%20M%C3%AC%20Pat%C3%AA%20X%C3%A1%20X%C3%ADu%2C%20Th%E1%BB%8Bt%20N%C6%B0%E1%BB%9Bng%20Doner%20Kebab%2C%20L%E1%BA%A1p%20X%C6%B0%E1%BB%9Fng%20X%C3%BAc%20X%C3%ADch&query_place_id=ChIJb5HoPwBbNDERbk38AiKU5Mg","Nhà hàng ăn nhanh"
"Five Star Hòa Lạc","4.5","4","Số 19 thôn 3","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 328 549 306","Quán gà rán mang đi",,,,"https://www.google.com/maps/search/?api=1&query=Five%20Star%20H%C3%B2a%20L%E1%BA%A1c&query_place_id=ChIJR1X5d7KrNTERk3xCTrsVMt0","Quán gà rán mang đi"
"Bánh Cuốn Bún Chả Nhà Bắp","5","3","Số 179 Cụm 4","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 376 822 660","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20Cu%E1%BB%91n%20B%C3%BAn%20Ch%E1%BA%A3%20Nh%C3%A0%20B%E1%BA%AFp&query_place_id=ChIJuyciVQBbNDERuCyVAjJ86e4","Nhà hàng"
"Nhà hàng Gà Ri Hiền Hân","4.4","17",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 915 313 525","Nhà hàng thịt gà",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20G%C3%A0%20Ri%20Hi%E1%BB%81n%20H%C3%A2n&query_place_id=ChIJVcCXdC1bNDERzIIStdLdri0","Nhà hàng thịt gà"
"Phở Cồ Như Ý 179","4.4","8","Phở Cồ Như Ý 179 Ql21A thôn 3 Thạch Hòa","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán ăn truyền thống Ghana",,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20C%E1%BB%93%20Nh%C6%B0%20%C3%9D%20179&query_place_id=ChIJq_WXtAZbNDERBaP7m0f-SSU","Quán ăn truyền thống Ghana"
"Vườn Bia 86","5","3","2G2C+5VG","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán bia sân vườn",,,,"https://www.google.com/maps/search/?api=1&query=V%C6%B0%E1%BB%9Dn%20Bia%2086&query_place_id=ChIJKWbMVgBbNDERvnjlJBWsk7I","Quán bia sân vườn"
"Gangsta Nướng Chảo Gang","4","12","Số nhà 334, Thôn 3, Thạch Hoà, Thạch Thất","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 922 810 810","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Gangsta%20N%C6%B0%E1%BB%9Bng%20Ch%E1%BA%A3o%20Gang&query_place_id=ChIJd3uUfXZbNDERStRucLjwWi0","Nhà hàng"
"Cơm Niêu Phú Ông","3.9","99","Khu Công Nghệ Cao Hòa Lạc, Số 572 - QL21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 983 426 633","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Ni%C3%AAu%20Ph%C3%BA%20%C3%94ng&query_place_id=ChIJjeK6NbVbNDERr78CS12xC-g","Nhà hàng cơm"
"Hò Zô Ta Mơ Garden",,,"QL21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 904 508 222","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=H%C3%B2%20Z%C3%B4%20Ta%20M%C6%A1%20Garden&query_place_id=ChIJA2Fya8lbNDERun8DlrH6940","Nhà hàng"
"Bánh Cuốn Sửu Bike","5","2","2G79+5JQ","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 971 272 407","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20Cu%E1%BB%91n%20S%E1%BB%ADu%20Bike&query_place_id=ChIJo-F6RgBbNDER8VD4u0F-olE","Nhà hàng"
"Cơm Tún","2","4","2G68+MXV","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 964 276 613","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20T%C3%BAn&query_place_id=ChIJnfWrOgBbNDERDuzMs-G3SHk","Nhà hàng cơm"
"Miền Trung Bún Bò Huế 2","5","3","Miền Trung Quán 2","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 989 496 007","Quán mì",,,,"https://www.google.com/maps/search/?api=1&query=Mi%E1%BB%81n%20Trung%20B%C3%BAn%20B%C3%B2%20Hu%E1%BA%BF%202&query_place_id=ChIJd4bIpvZbNDERdmE9CQLjte0","Quán mì"
"Bánh tráng cuốn Mai Hương","5","1","2G69+C96, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 369 254 530","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20tr%C3%A1ng%20cu%E1%BB%91n%20Mai%20H%C6%B0%C6%A1ng&query_place_id=ChIJB9mQt5NbNDERobFKp7XgQMM","Quán ăn nhỏ"
"Hoà Lạc Quán","4","24","2G59+45C","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 969 090 643","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Ho%C3%A0%20L%E1%BA%A1c%20Qu%C3%A1n&query_place_id=ChIJw0vkVwBbNDERgsd3QXtK--k","Nhà hàng"
"Xôi Quê","3.8","20","296 Thôn 3","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 328 541 685","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=X%C3%B4i%20Qu%C3%AA&query_place_id=ChIJjfjnGdtbNDERN5hEmIS-QWA","Quán ăn nhỏ"
"Nhà Hàng Huy Cường","3.9","48","7 Thôn 6","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 916 611 972","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Huy%20C%C6%B0%E1%BB%9Dng&query_place_id=ChIJLXTaz5lbNDERiT2n-g-RImg","Nhà hàng"
"Cơm Nhất Linh","4.2","10","2G2C+CJ3","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Nh%E1%BA%A5t%20Linh&query_place_id=ChIJ5d5VYFhbNDERJqtYs521ask","Nhà hàng cơm"
"Bún Bò Huế Thái Anh 688","4.3","111","2G49+8HF","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 346 636 000","Quán mì",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20B%C3%B2%20Hu%E1%BA%BF%20Th%C3%A1i%20Anh%20688&query_place_id=ChIJp_3CFfpbNDERyvG1es3SL5Q","Quán mì"
"Cơm Tấm 79","4","5","2G69+4FJ, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 879 952 398","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20T%E1%BA%A5m%2079&query_place_id=ChIJR0GrHwBbNDERtPkop2rUPKo","Nhà hàng cơm"
"Nhà Hàng Gà Ri Phú Bình 2","3.7","410",,"Hà Nội","Hòa Lạc, Hà Nội","VN","http://phubinhhoalac.com.vn/","+84 981 242 299","Nhà hàng thịt gà",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Ri%20Ph%C3%BA%20B%C3%ACnh%202&query_place_id=ChIJDbOOXJdbNDERKd7x2P_YDZc","Nhà hàng thịt gà"
"Bún Bò Huế Đức Duy","4.8","6",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 973 271 135","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20B%C3%B2%20Hu%E1%BA%BF%20%C4%90%E1%BB%A9c%20Duy&query_place_id=ChIJ-XmK80lbNDERPF6XpDn3Tok","Quán ăn nhỏ"
"Tiệm trà Bảo An","5","1","2G69+WF3, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20tr%C3%A0%20B%E1%BA%A3o%20An&query_place_id=ChIJcQfOTgBbNDERP8Cg81U85Xs","Nhà hàng"
"Tâm Hoa - Nướng Bbq","5","1",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=T%C3%A2m%20Hoa%20-%20N%C6%B0%E1%BB%9Bng%20Bbq&query_place_id=ChIJQyrCjpRbNDERa86K8LVri0k","Nhà hàng"
"Canteen HOLA","3.4","15",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng","Quán ăn tự phục vụ",,,"https://www.google.com/maps/search/?api=1&query=Canteen%20HOLA&query_place_id=ChIJ2Y20cPJbNDERtVlRmRWsfOE","Nhà hàng"
"Góc Ăn Vặt","5","1",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 325 450 959","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=G%C3%B3c%20%C4%82n%20V%E1%BA%B7t&query_place_id=ChIJpSMKfgNbNDERfUO6ay-dxt4","Nhà hàng"
"Gà ri Mạnh Cường","3.9","40","QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 983 508 066","Nhà hàng thịt gà",,,,"https://www.google.com/maps/search/?api=1&query=G%C3%A0%20ri%20Ma%CC%A3nh%20C%C6%B0%C6%A1%CC%80ng&query_place_id=ChIJA1K-_0lbNDERsIAWQC-QL-0","Nhà hàng thịt gà"
"Nhà Hàng Thanh Dũng","3.9","31","XGXC+PRR, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 24 3368 5342","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Thanh%20D%C5%A9ng&query_place_id=ChIJB9Zdm5dbNDERumxr6yV-RUM","Nhà hàng"
"Hẻm Nướng","3","2","Ngõ 1 Đường Cây Xăng 39","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 327 146 083","Món nướng",,,,"https://www.google.com/maps/search/?api=1&query=H%E1%BA%BBm%20N%C6%B0%E1%BB%9Bng&query_place_id=ChIJh8OeeLdbNDERmhfod8cQDe8","Món nướng"
"Vườn Bia Đồi Xanh",,,,"Hà Nội","Thạch Hòa, Hà Nội","VN",,"+84 978 697 961","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=V%C6%B0%E1%BB%9Dn%20Bia%20%C4%90%E1%BB%93i%20Xanh&query_place_id=ChIJ49KSctNbNDERccWPQfRZwvo","Nhà hàng"
"Bún Chả Nhất","4.1","20","Số 498 Thôn 3","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 989 157 979","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ch%E1%BA%A3%20Nh%E1%BA%A5t&query_place_id=ChIJ6zp0QRJbNDER3AJ4q6Ug1mI","Nhà hàng"
"Mỳ Cay Seoul Hàn Quốc","3.4","33","2G39+QP7","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/datbavi.hn?mibextid=LQQJ4d","+84 984 117 955","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=M%E1%BB%B3%20Cay%20Seoul%20H%C3%A0n%20Qu%E1%BB%91c&query_place_id=ChIJAaL7_GlbNDERk8kScBxGkkI","Nhà hàng"
"Bún Riêu Cua Thảo Thuận 2","4","4","2G59+VFF, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán mì",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ri%C3%AAu%20Cua%20Th%E1%BA%A3o%20Thu%E1%BA%ADn%202&query_place_id=ChIJUwLbOwBbNDER4lBmCmz_Bew","Quán mì"
"Bún Cháo Tuấn Hưng Gà Mía","5","1","2G2C+FHX","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán mì",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ch%C3%A1o%20Tu%E1%BA%A5n%20H%C6%B0ng%20G%C3%A0%20M%C3%ADa&query_place_id=ChIJGbZkfwBbNDERJqYhy3uxZZE","Quán mì"
"Thanh Xuân Quán",,,"2G2C+55M","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Thanh%20Xu%C3%A2n%20Qu%C3%A1n&query_place_id=ChIJQT87QQBbNDER7u3S8JXurQI","Nhà hàng"
"Vua Bún Riêu Cua_ Lẩu Ếch","4.3","7","2G69+VCF","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 976 712 092","Cửa hàng ăn nhanh",,,,"https://www.google.com/maps/search/?api=1&query=Vua%20B%C3%BAn%20Ri%C3%AAu%20Cua_%20L%E1%BA%A9u%20%E1%BA%BEch&query_place_id=ChIJ52STAQBbNDERlaWeOrJvdag","Cửa hàng ăn nhanh"
"Bún Đậu Sơn béo","2.4","27","Thôn 3 QL21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 866 823 822","Nhà hàng gia đình",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20%C4%90%E1%BA%ADu%20S%C6%A1n%20b%C3%A9o&query_place_id=ChIJwbQpFWZbNDERW1A4GuxaRi8","Nhà hàng gia đình"
"Chân Gà Sốt Thái Yến Nhi","5","3","Số 39 Cụm 1","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/share/18oFQrqDvN/","+84 334 466 083","Nhà hàng ăn nhanh",,,,"https://www.google.com/maps/search/?api=1&query=Ch%C3%A2n%20G%C3%A0%20S%E1%BB%91t%20Th%C3%A1i%20Y%E1%BA%BFn%20Nhi&query_place_id=ChIJTe-zPgBbNDERDQIdRrvJhRw","Nhà hàng ăn nhanh"
"Phở Cồ Hòa Lạc","3.6","5","2G69+4CQ","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng phở",,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20C%E1%BB%93%20H%C3%B2a%20L%E1%BA%A1c&query_place_id=ChIJayLLOFpbNDERxaGb_TBbjCk","Nhà hàng phở"
"Quán Mỳ U Hoa","3.8","6","số 44 Cụm 1","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 384 215 138","Nhà hàng Việt Nam",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20M%E1%BB%B3%20U%20Hoa&query_place_id=ChIJcUENb3pbNDERNFqmmLsZkdc","Nhà hàng Việt Nam"
"Bún Cháo Kim Dung","5","2",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ch%C3%A1o%20Kim%20Dung&query_place_id=ChIJsW2NAJRbNDERdqOCei2TvEM","Quán ăn nhỏ"
"Bánh Mỳ Nguyễn Việt","3","2","QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/nguyenvuong28102017","+84 356 721 667","Cửa hàng sandwich",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20M%E1%BB%B3%20Nguy%E1%BB%85n%20Vi%E1%BB%87t&query_place_id=ChIJJTqH_PlbNDERV13GNagDmMc","Cửa hàng sandwich"
"Bún Chả Nem Hùng Anh","3.3","36","2G69+CG8","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 342 436 528","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ch%E1%BA%A3%20Nem%20H%C3%B9ng%20Anh&query_place_id=ChIJd-eANFtbNDER3JG_m9Zhrqs","Quán ăn nhỏ"
"Phở Gà Tuấn Hưng",,,"QL21A","Hà Nội","thạch thất, Hà Nội","VN","https://www.facebook.com/share/18cbrUQrwV/","+84 945 645 645","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20G%C3%A0%20Tu%E1%BA%A5n%20H%C6%B0ng&query_place_id=ChIJ8-ETmR-tNTERZW4DhCFbxDY","Nhà hàng"
"Lẩu Hulk Ếch","5","2",,"Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/profile.php?id=100086642153584&mibextid=LQQJ4d","","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20Hulk%20%E1%BA%BEch&query_place_id=ChIJa0N0vZRbNDERP-c3Ls4BykQ","Nhà hàng"
"Ốc Sài Gòn","3","1","346 thôn 3","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=%E1%BB%90c%20S%C3%A0i%20G%C3%B2n&query_place_id=ChIJQ1AUcgBbNDER0Jbg6dQj3nQ","Quán ăn nhỏ"
"Mỳ cay Hola","3.7","11","2G79+CF4","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 945 403 868","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=M%E1%BB%B3%20cay%20Hola&query_place_id=ChIJW3aVu05bNDERFfxsKl_po70","Quán ăn nhỏ"
"Cơm Gà RuBy","4.1","8","Số 282A cụm 4","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20G%C3%A0%20RuBy&query_place_id=ChIJdciR4vJbNDERaxg_7PcYRws","Quán ăn nhỏ"
"Cơm Đăng Khôi",,,"2G79+CF4","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20%C4%90%C4%83ng%20Kh%C3%B4i&query_place_id=ChIJK_3bNQBbNDER3OvZfTLBqjc","Nhà hàng cơm"
"Oanh Thân Lẩu Chó","3.4","5","XGXC+XQM","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 975 296 168","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Oanh%20Th%C3%A2n%20L%E1%BA%A9u%20Ch%C3%B3&query_place_id=ChIJyZtjwRVbNDERVwm55jYlP0o","Nhà hàng"
"Pizza Fat","3.5","55","2G69+XJJ","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng pizza",,,,"https://www.google.com/maps/search/?api=1&query=Pizza%20Fat&query_place_id=ChIJ5Qk3JUlbNDERTcYmf1MgwzE","Nhà hàng pizza"
"Bún Chả Hà Nội Thủy Béo",,,"2G49+J7M, QL21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán mì",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ch%E1%BA%A3%20H%C3%A0%20N%E1%BB%99i%20Th%E1%BB%A7y%20B%C3%A9o&query_place_id=ChIJD8z2fQBbNDERZi-cxwZrS7E","Quán mì"
